word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,True,0.015561899999738671,0.03035489999456331,1.0150365000008605,,,,,,,,,,,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
BLUE,red,I,r,0,0,0,r,1,1.8322621000043,None,0,0,0,2,1.0295732000013231,,,,,,1.0258554999963962,1.0295732000013231,1.5128335999979754,1.5128335999979754,1.5128335999979754,3.396396600001026,r,1,1.8322621000043,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
RED,red,C,r,1,1,0,r,1,0.6671053999962169,None,0,1,1,0,3.4105444999950123,,,,,,3.4007402999995975,3.4105444999950123,3.9599527999962447,3.9599527999962447,3.9599527999962447,4.629047199996421,r,1,0.6671053999962169,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
RED,blue,I,b,2,2,0,b,1,0.7021334000019124,None,0,2,2,1,4.643192799994722,,,,,,4.629364499996882,4.643192799994722,5.142267899995204,5.142267899995204,5.142267899995204,5.845123899998725,b,1,0.7021334000019124,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
BLUE,blue,c,b,3,3,0,b,1,0.5481306999936351,None,0,3,3,3,5.85870419999992,,,,,,5.846584099999745,5.85870419999992,6.357657900000049,6.357657900000049,6.357657900000049,6.910060800000792,b,1,0.5481306999936351,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
BLUE,blue,c,b,4,0,1,b,1,0.4648576999970828,None,1,0,4,3,6.924345699997502,,,,,,6.9103547999984585,6.924345699997502,7.4234963999988395,7.4234963999988395,7.4234963999988395,7.89225869999791,b,1,0.4648576999970828,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
BLUE,red,I,r,5,1,1,r,1,0.600613999995403,None,1,1,5,2,7.906783599995833,,,,,,7.892563199995493,7.906783599995833,8.405818300001556,8.405818300001556,8.405818300001556,9.007740199995169,r,1,0.600613999995403,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
RED,blue,I,b,6,2,1,b,1,0.7365807000023779,None,1,2,6,1,9.021888399998716,,,,,,9.009205099995597,9.021888399998716,9.521363799998653,9.521363799998653,9.521363799998653,10.273821800001315,b,1,0.7365807000023779,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
RED,red,C,r,7,3,1,r,1,1.2247719000006327,None,1,3,7,0,10.287492600000405,,,,,,10.274119699999574,10.287492600000405,10.786762799994904,10.786762799994904,10.786762799994904,12.02186349999829,r,1,1.2247719000006327,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
BLUE,red,I,r,8,0,2,r,1,0.46482359999936307,None,2,0,8,2,12.035929499994381,,,,,,12.023599899999681,12.035929499994381,12.535149600000295,12.535149600000295,12.535149600000295,13.004172199995082,r,1,0.46482359999936307,None,,,,,pilot,001,2026-09-10_15h08.31.804,stroop task,,2026.2.3,60.132218720381054,2026-09-10 15h08.31.960673 +0530,
